Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
485,4.73365765925483E-05,8.36161736430642E-05,0.000446911619435876,0.000454963606845332,0.000260493497373985,0.000264383398224253,0.00193217570401159,0.0034039897975765,0.00340034790308801,0.00251384833791244,0.0012285337450883,0.0012310561378412,0.000354198499999997,0.000360797414404038,0.000368160809858371,0.000287939154501914,0.000286737316691232,0.00183611403001166
486,4.88011547070634E-05,7.57633754561139E-05,0.000485004022774723,0.000500399698599591,0.000277446462930977,0.000288959772015248,0.00178949282062941,0.00316857114715299,0.00315505792860129,0.00233740533931636,0.00115378713920184,0.00114409261398706,0.000382174114139649,0.00037047028315101,0.000379183815930983,0.000283425632209183,0.00029104362886308,0.00169489076684597
487,2.87922072163636E-05,7.37864808591398E-05,0.000526449513280534,0.0005363028464168,0.000293840470313667,0.000305805231979133,0.0016479699670406,0.0028852670851518,0.00287816688921537,0.0021304313859628,0.00105501045509027,0.0010567699788646,0.000369211546089618,0.000375503073722432,0.00038502520238353,0.000287319882208784,0.000293529966118196,0.00156411313398384
488,3.08762056116067E-05,7.4695071730371E-05,0.000590267991552395,0.000594206209528848,0.000330586367425727,0.00032705038110837,0.00150141448703542,0.00265210170931612,0.00266332538320014,0.00197028156319458,0.000971197231312141,0.000977965007244099,0.000421956821718991,0.000434024044907946,0.000436909687452083,0.000315322596100818,0.000312142961761432,0.00146553722657065
489,6.52921632187834E-05,8.59348675503655E-05,0.000660044109893733,0.000673056726189274,0.00036204570244005,0.000364430503690061,0.00139641547166708,0.00244453664193762,0.00244922867674321,0.00183076271268942,0.000911843118474138,0.000921320729720434,0.000459114741546512,0.000464090218142018,0.000471831373958933,0.000332940561969504,0.000341872757223497,0.00136565422588985
490,6.46538842880661E-05,7.25793582254404E-05,0.000734461313513465,0.00075039843203166,0.000406670820760491,0.000400987517624546,0.00126513508177425,0.00222021583515785,0.0022148427907429,0.00164690407008537,0.000838480815110742,0.000833457998462616,0.000482915294757948,0.000497224902398047,0.000500583977596696,0.000345710307301911,0.000345321785838489,0.00124236758440523
491,4.90377808774501E-05,7.19134948626673E-05,0.000807276389766004,0.000811644648676919,0.000420645324091095,0.00042198530996391,0.00113890673742944,0.00201489209075472,0.0020185486813238,0.00148947935347367,0.000741044974554545,0.000737698336078577,0.000502797722014909,0.00052015713603558,0.000513789827278237,0.00035137425965776,0.000347544929983677,0.00111822519869119
492,5.00000671875903E-05,6.76412199251473E-05,0.000894094951440091,0.000903032463449873,0.000470594382361201,0.000483656899913959,0.00105015766114936,0.00182325244999548,0.00184492894971151,0.00135197056671045,0.000695063433991489,0.000693688432143831,0.000559017144621911,0.000566581643697025,0.000569816942162104,0.000361949015780755,0.000371250498867858,0.0010352955088254
493,5.8827362928485E-05,8.26605367265325E-05,0.00101344852318242,0.00102162386686967,0.000526042004889514,0.000523790891490191,0.000951886406536642,0.00166117393585581,0.00164401639284006,0.00123377718824205,0.000633102586586986,0.000630194584745887,0.000614958538843159,0.00060107008547674,0.000613413454418482,0.00038491470476497,0.000378593828118927,0.000945694045524982
494,4.33276461908747E-05,6.94650402980564E-05,0.00112363875567715,0.00112553378594735,0.000577850395065471,0.000584351494167047,0.000873285347846482,0.00151956125087275,0.00152010983906597,0.00113274568786461,0.000599142518378943,0.00059815937987088,0.000665279452491953,0.000679778167535663,0.000685382728764276,0.000417187102929625,0.000426570209281757,0.000889336820605569
495,5.01890765203862E-05,7.2279779112241E-05,0.00125102670227523,0.0012594413303498,0.000634744920560094,0.000645092844300221,0.000786996746151694,0.00137139038563354,0.00134792056505127,0.00101377298867665,0.00053500966719216,0.00053661149353249,0.000701128350530751,0.000710749470210192,0.000730220061187597,0.000425560268920582,0.000420325499118473,0.000791197120153259
496,7.45658393439219E-05,7.10153243240374E-05,0.00137926751040251,0.00141518256854828,0.000686811984850487,0.000699059094134716,0.000710376485271853,0.00121864206308355,0.00123873092459445,0.000921013982159703,0.000481598941999462,0.000496059979684994,0.000779780018944506,0.000795554938679167,0.000800213025431068,0.000456780870511586,0.000465971464043043,0.000738781163405013
497,5.32459491242563E-05,7.55748955312024E-05,0.0015462623625684,0.0015563030272604,0.000777816824807136,0.00078250246833007,0.000672389845541108,0.00114329701959603,0.00112731070640014,0.000868852184681293,0.000471911240524123,0.000470907174054922,0.000859766206140333,0.000879640977330738,0.000879640977330738,0.00050242698615668,0.000509908265731113,0.000700877770657437
498,4.26663385053511E-05,6.18496534922535E-05,0.00172519213516895,0.00173124196682147,0.000870162255237531,0.000862768882792763,0.000612155646077115,0.00103011897253817,0.00102857838724926,0.000778564997395454,0.000432872211422614,0.000427235577035022,0.000944564090990186,0.000948595748346098,0.000947198551527217,0.000535520776357052,0.000531656319510082,0.000641139072429392
499,5.25017285299067E-05,6.75687311541135E-05,0.00193544954605817,0.00192226481513526,0.000957641810696644,0.000963670011760451,0.000577007086875544,0.00095318300415288,0.000962240976981858,0.000735705350914756,0.000409818648314169,0.000406979202541442,0.00104183356602235,0.00107018731748412,0.00107331942654412,0.000586317883590596,0.000595478006674961,0.000611589584229978
500,2.29992924475627E-05,6.19176642587152E-05,0.00212549964620133,0.00214074350063461,0.00105998159007814,0.00107175916330123,0.000527394782612955,0.000878070650460167,0.000880291952790935,0.000676071167213293,0.00037839003717428,0.000386309290145127,0.00116096732334032,0.00116136936011404,0.00116044086152871,0.000622854558349494,0.000625779669418447,0.000573467060246991
501,5.80395315464901E-05,7.81059876608737E-05,0.00236928048825302,0.00237866702627764,0.00118943997489502,0.00119478799969324,0.000494539794563007,0.000807763389223834,0.000833495690301131,0.000633093855722599,0.000357453179232195,0.000361342070530949,0.00130066412976215,0.00128287187280933,0.00130010998886183,0.00069254905115006,0.000698753960502203,0.000555679214597519
502,5.62474734893076E-05,6.19772670535834E-05,0.00261686929818991,0.00262370780680888,0.00131136543850308,0.00132634502881129,0.000455574931329976,0.000761353959577901,0.000765070123925461,0.000590716887371391,0.000335412565596766,0.000342902360750868,0.00138104775934877,0.0014293823897676,0.00142861617031449,0.000747063966777491,0.000745148418144728,0.000518730569752165
503,4.91983712200378E-05,7.74318732773432E-05,0.00289399017549487,0.00289122604623811,0.00147416683271692,0.00148242378293262,0.000436800766423181,0.000713497192535678,0.00071026984381556,0.000559278017538148,0.0003284276620286,0.000333052262900485,0.00155820670291701,0.00156927914463106,0.00156510406467202,0.000807955398663078,0.000805787454147973,0.000478445700041673
504,3.11028506531251E-05,5.82992419394376E-05,0.00316182970717846,0.00317637409769537,0.00159046645293459,0.00159911520870882,0.000389573248289195,0.000639018110527262,0.000643371029334404,0.000503509899523471,0.000284058427843551,0.00029196415881084,0.0016716230684185,0.00168815153034014,0.00169381816250522,0.000854915601401536,0.000853837850554373,0.000438609275731414
505,5.16218462200202E-05,5.6286522912248E-05,0.00348102277563922,0.0034982155964552,0.00177466421555179,0.00177747020272865,0.000376633354638657,0.000606371478846124,0.000603836422831697,0.000471626125889273,0.000285307010630522,0.000283253673503782,0.00184158655896816,0.0018643444393984,0.0018649287320611,0.000935608855880925,0.000942670134085376,0.000428676173081894
506,5.6752152613149E-05,7.63462113217607E-05,0.00382310649205566,0.00381141961112667,0.00196576813964633,0.00196461223276751,0.000365210908566566,0.000572552676763134,0.000580403949555615,0.000451621867029001,0.000288277951140659,0.000288952774365584,0.00207804820198682,0.00208422034141938,0.00208486205458637,0.00107058061317585,0.00106541507828145,0.000433436634177473
507,4.4775329900079E-05,5.91224217259651E-05,0.0041845341853993,0.00418916148980304,0.00215409387829358,0.00216540154099478,0.00033905122231276,0.000527063664407061,0.000532458227097967,0.000428485779629139,0.000261685474715991,0.000266925261215061,0.00227239700873419,0.00226451248694423,0.00226958202730333,0.00113763697270527,0.00113967235761692,0.0004003822024615
508,4.07919814213741E-05,7.16374140155119E-05,0.00451691705335328,0.00452395151347272,0.00235353711781438,0.00237219790883197,0.000319099279923677,0.000494312547796865,0.000493073347280751,0.000398768114696069,0.000255259212806152,0.000250785651097404,0.00247001700350883,0.00247586666636478,0.00247835753624507,0.00125912457542354,0.00126053384522776,0.000388714888466189
509,5.56992964958916E-05,7.95646555029596E-05,0.00489056273748463,0.0049053538957708,0.00257389757091416,0.00259417640627724,0.000299442278920963,0.000448652021951338,0.000456646929942373,0.000365589440245923,0.000244781868179939,0.000242559260618321,0.00268421861416556,0.00270160783778109,0.00269975662898432,0.00136406320189739,0.00136653919366306,0.00037449953958586
510,2.6763945304704E-05,7.45916662067221E-05,0.00525428931263042,0.00527154784255742,0.00277928398729021,0.0028006803917531,0.00027174360922664,0.000417253068396238,0.000410678422795715,0.000341415216608228,0.000222031161371103,0.000228973981670815,0.00287388183773749,0.00290755741609776,0.00289101682683418,0.00145835361958881,0.00146573074967256,0.000343043366944643
511,7.19324314568914E-05,7.67306372091717E-05,0.00561138829839354,0.00558923529844631,0.0029983895568306,0.00301444453060766,0.000255963873242659,0.000388008728486889,0.000383110542696704,0.000319330993228408,0.000213664403048221,0.000212078636545898,0.00312337280309506,0.00313568121898776,0.00309973965811501,0.00158762424122875,0.0015887058358478,0.000319163406866385
512,4.89099165728433E-05,8.31133425826888E-05,0.00602737845245564,0.00600655244082612,0.00325517959110766,0.00328276153852112,0.000264697442994787,0.000372832049554259,0.000376670160012793,0.000311910633098651,0.000223314991557652,0.000226027955112268,0.00339372676576681,0.00339038310969996,0.00339126299554374,0.00174719487267454,0.00175172849160344,0.000338574164068583
513,5.17929690008732E-05,6.35416727766204E-05,0.00631816155619167,0.00633197405148818,0.00346351456171195,0.0034769620695192,0.000238428077356089,0.000338754013465165,0.000336405748368853,0.000283583873292404,0.000206639948213751,0.000202488215523471,0.00358596468567511,0.00361448989221695,0.00358502251992265,0.00186210712808717,0.0018624560131872,0.000292271783215875
514,5.01129318491506E-05,5.57623946618625E-05,0.00666221396097251,0.00666063898311439,0.00368610122759152,0.00370181259207858,0.000208281218212337,0.000309291078649324,0.000313797955748337,0.000266382535539183,0.000188017783574379,0.000182947123153127,0.0037888261828692,0.00381348010397584,0.00380830549953525,0.00198639280593138,0.00198478845258954,0.000278276216968444
515,5.01753486132749E-05,5.60220969828651E-05,0.00698181120200506,0.00697124652777883,0.00390726123127788,0.00392851743241135,0.000190685907477082,0.000287460142408937,0.000288013310204385,0.000241965505414782,0.000169460821152158,0.00017035357681287,0.00402612674485944,0.00403615383292902,0.00403080940698979,0.00212442057412195,0.00211295455598468,0.000272675539871945
516,3.80969041781701E-05,6.32090377972248E-05,0.00722254493116785,0.00721545721885305,0.00407228068464451,0.00410310899919734,0.000190272839810129,0.000279017173919611,0.00027522891939112,0.000229932314546525,0.000168927496252509,0.000165904629722728,0.0042098952735116,0.00420021987516386,0.00420431375959428,0.00221159354386847,0.00221601340734455,0.000252433460012591
517,3.32692455571656E-05,6.27335594074986E-05,0.00744860600471596,0.00750525373373071,0.004264581496005,0.00428993438589211,0.000192627772944428,0.00026028636908354,0.000266843651540547,0.000226448918768718,0.000171312467803671,0.000171257921871708,0.00438700966048375,0.00439530840746476,0.00437165521276126,0.00235542935821137,0.00234259048741,0.000257708602973452
518,5.77110062654529E-05,5.77568918906067E-05,0.0076469115379411,0.00767905494276881,0.00440818409086766,0.0044228922691546,0.000190166909994253,0.000257180767903483,0.000253875832616137,0.000216610336914406,0.000175145791743752,0.000173022270562505,0.0045306121409411,0.00453919417132329,0.00451993127020548,0.00246598006152855,0.00246958281573079,0.000257097273417408
519,6.11564826158564E-05,5.31606224360395E-05,0.00778261510750162,0.00777951457632989,0.00453729852560535,0.00454282310842043,0.000178834879765535,0.000236241684187486,0.00024541174001659,0.000213485664496821,0.000166770994842821,0.000165474409080099,0.00464155523397682,0.00466372945445454,0.00464423092687193,0.00255819797596971,0.00255541247202934,0.00025027531832518
520,4.16548793592092E-05,7.39000485766219E-05,0.00786284280599526,0.00787641713362852,0.00462403347421715,0.00463298953886775,0.000172479034207904,0.000226946958707419,0.000230371473848978,0.000204958791632052,0.000157682362677913,0.000159187505067001,0.0047190374840354,0.00473600724168272,0.00472706822468067,0.00262864017009532,0.00262265974500167,0.000241471692746944
521,4.0697180689242E-05,7.5092862433053E-05,0.00790135763081634,0.00792642709412091,0.00469097409787238,0.00468679585398828,0.000167726647347263,0.000225326723749437,0.000212423323519142,0.000205032396312401,0.000163548403463167,0.00015608725367014,0.0047775821461584,0.00478988261065807,0.00476741138304613,0.00266494714960378,0.00268706726428428,0.000231734534748155
522,4.71806561617242E-05,6.61907787500035E-05,0.00791087478949068,0.0079028991000764,0.00473608571176209,0.00470822783037448,0.000169642710157722,0.000215794338115058,0.000214824476344382,0.000203235464316808,0.00016529870916298,0.000160001175362305,0.004816080754178,0.00482414068111687,0.00481377812154179,0.00274103787488159,0.00273393836964465,0.000245312741709757
523,5.98711112755054E-05,6.80951426641053E-05,0.00780368103418993,0.00782717948614532,0.00470249562411398,0.00469465085815247,0.000151550806826648,0.000196029534214943,0.000206926917736477,0.000177345999968029,0.000146691081706738,0.00015297105722901,0.00475361662018125,0.00478076374799859,0.00477828990275565,0.00273962104152765,0.0027397482367601,0.000232052397370517
524,5.28564391699467E-05,7.73408440750763E-05,0.00772785998690485,0.00775038746239331,0.00465245157166517,0.00466638185914879,0.000157802886256348,0.000200626026827933,0.00020454033646268,0.000185230544271458,0.000153876260654822,0.000158933977975104,0.0047208793974571,0.00473178490740009,0.00473247145703751,0.00273722337824091,0.00273424277134866,0.000231036578645949
525,4.43863214696712E-05,7.5057770219278E-05,0.00754202835475947,0.00756850151324523,0.00456240893049799,0.00458205830520061,0.000163343750303075,0.000194241347331954,0.00019722577355031,0.000192427488250968,0.000166633952914532,0.000159711440092799,0.00462578104147208,0.00466147197306741,0.00465855467179047,0.00272362218540285,0.00272028079495881,0.000237795169733947
526,5.44754230674292E-05,5.751850334893E-05,0.00732054021868667,0.00732434021161284,0.00444979171654157,0.00445534555235674,0.000143522809749846,0.000172753524566516,0.000174696507374918,0.000172461217418349,0.00014235358115718,0.00014410742404618,0.00448140401582773,0.00449499615727865,0.0045135662584563,0.0026472710901026,0.00264692719934005,0.000217338961931
527,6.36699905596243E-05,7.1244720981966E-05,0.00712346587709606,0.00715900183730002,0.00434176528122827,0.00435046350420474,0.000155789713591767,0.000185896791186829,0.000195310716672771,0.000173454801154625,0.000152413076724257,0.000156331400772433,0.00437339759287793,0.0044161962933122,0.00441546528291753,0.00262314319308168,0.00262046643272541,0.000238026310540396
528,4.9987567120667E-05,6.23912539884498E-05,0.00688984664493956,0.00689564009761231,0.00418612251792571,0.0041849333101587,0.000134091471540314,0.000164734062898335,0.00016541000658443,0.000155005135153993,0.000132622900632225,0.000138674445140898,0.00421089686065773,0.00423993534973218,0.00424186561640414,0.00252620856227233,0.00252383051377258,0.000202816472581571
529,6.53459586819143E-05,5.82184442870181E-05,0.00660063221667226,0.0066120058756903,0.0040301201121584,0.00404166021359082,0.000150466763659301,0.000176595965870996,0.00018055035884982,0.000177764448041116,0.000153741165530036,0.000151896757894052,0.00405823418756462,0.0040892946386525,0.00410136212855666,0.00245248997894397,0.00246339519300533,0.000227946454304788
530,5.03246608025763E-05,4.52236759385642E-05,0.00636196740466456,0.00634563238480246,0.0038762827723427,0.00388188369033958,0.000133298280862079,0.000166287410394311,0.000162876402135855,0.000155272668051966,0.000137964126986728,0.000140816908785989,0.00387199577916557,0.00392511568431828,0.00391588178254431,0.00236055155303197,0.00235598519950586,0.000211029700619677
531,3.39877562506883E-05,6.49393853921339E-05,0.00605805610740633,0.00605776851869959,0.0036819982123486,0.00369350176061806,0.000117048603641793,0.000144944708195243,0.000146162730953186,0.000138330167940301,0.000127976974497784,0.000127401797084311,0.00373252424792394,0.00372444292206637,0.00372748797896123,0.00224995870564511,0.00224928202633514,0.000194206961960946
532,4.1867105229716E-05,5.6828072053112E-05,0.00575920180277706,0.00575584613396906,0.00354311230935687,0.00353472649077006,0.000134269229140322,0.000159741907620231,0.00015690385108751,0.000153397212032555,0.000142424778648371,0.000138423015046559,0.00354055842260141,0.00357621950588277,0.00358641131262416,0.00215536854995558,0.00216299333646998,0.000210629795940746
533,4.27006989341259E-05,5.13628809667156E-05,0.00546895693511012,0.0054801194736869,0.00335480095084193,0.00334553606725586,0.000121966219034693,0.000149118033794791,0.000147644142395699,0.000139898062808838,0.000135763369788325,0.000127724404913077,0.00332896033431274,0.00339685550146065,0.00338113815901006,0.00204604668093829,0.00203902790979484,0.000206170199575702
534,3.80595984264273E-05,5.51586967746229E-05,0.00520392219215595,0.0052161824433354,0.00319336059874966,0.00319522730260381,0.000129887568474039,0.000153207630685321,0.000146952795912707,0.000147111636888974,0.000137813636882864,0.000138475738175567,0.00318430025665126,0.00322364553823963,0.00324415301662022,0.00195821884777879,0.00195727830548587,0.000205652298320405
535,5.20981094094664E-05,5.56733306427779E-05,0.00493441211499364,0.00494920972884132,0.00302439228380722,0.00302534720888043,0.000137731042314254,0.00014333615727017,0.000141319237750584,0.000144482563996325,0.00013661802071779,0.000136691688731239,0.00301770724742813,0.00306175949503653,0.00306331173315205,0.00184509727724487,0.00186254291453437,0.000196097792259168
536,4.77652280411074E-05,7.69641675858075E-05,0.00466298185846116,0.00467817752803301,0.00286021287626859,0.00286748105851643,0.000131557225366868,0.000153313520860665,0.0001514376258039,0.000151457584791431,0.00013978502846914,0.000141533653758997,0.00285687518070664,0.00289932063905232,0.00291888090096239,0.00180197777522951,0.00177685806109287,0.00021105028508163
537,5.18762020126703E-05,7.19540968160921E-05,0.00442786969707347,0.00444008512711696,0.00271370274220745,0.00270724413511983,0.00012622245532372,0.000141462136360025,0.000141541087074848,0.000141712146956965,0.000128338773096066,0.000138293142390034,0.0027333053849912,0.0027599209034792,0.00276215784039919,0.00167736211828371,0.00168567516413864,0.00019467027399122
538,2.49278945566192E-05,6.51290542802485E-05,0.00420612334263797,0.00420065667123934,0.00256510892962784,0.00257770148578889,0.000120144512942982,0.000129034403492187,0.000131771335009935,0.000129837812068343,0.000120371563192765,0.000120249305365959,0.00257334114751153,0.00260133834143035,0.00260481087466233,0.00158766685070134,0.00158022864342337,0.00018340728774344
539,4.02272096639648E-05,5.47981600383491E-05,0.00398023220835242,0.00397474872803393,0.0024395394661362,0.00244505392656948,0.000117001566870939,0.000133617235105303,0.00012806329021199,0.000129920274739919,0.000128959891181314,0.000121638257385065,0.0024613616558486,0.00249558796087712,0.00246576200722277,0.00151031096885528,0.00150581581494404,0.000182892018864556
540,4.95897946630662E-05,6.71205062042233E-05,0.00378722519248054,0.0037852882260091,0.00231982738934563,0.00231489777022362,0.000115658039277063,0.000129884498877046,0.000133297505405851,0.000132361280136989,0.000131108605093511,0.000130901004950554,0.0023310534798125,0.00237572731694571,0.00237878650215308,0.00143712979512048,0.0014455778453447,0.00018913459759145
541,4.85704685517956E-05,4.63535446952945E-05,0.00358668150964293,0.00358062686077176,0.00218604247419156,0.00219629265801494,0.000118102087611508,0.000143328120756788,0.000133135126465131,0.000140633042164363,0.00013306683046821,0.000130534556402275,0.00220812515120353,0.00224411340032896,0.00225348011822671,0.00138250601803291,0.0013731306954132,0.000194734737537205
542,3.2202314444745E-05,5.73474908544898E-05,0.00338444280222864,0.00338538331426957,0.00206343230300649,0.00205903643151085,0.000117390214847299,0.000126580653160259,0.000129326419131403,0.000129320405627304,0.000125435681980002,0.000127439381545453,0.00210638162665445,0.00210193616839552,0.00210863521196068,0.00130458160602645,0.00129121959992071,0.000187068085480316
543,3.81775816775102E-05,6.42572928678237E-05,0.00320644336482599,0.00320866816927775,0.00196914165181624,0.00195272293989317,0.000117586951566731,0.000125054706044349,0.000123262079748744,0.000127382989772936,0.000125761814435994,0.000124295858014291,0.00198677384203477,0.00201127192052246,0.00200457620261018,0.00123467009296968,0.00123736867018887,0.000184680074053179
544,4.17861361679833E-05,4.18601295973109E-05,0.00301719016790961,0.00301604561235552,0.00184603497095226,0.0018518286123874,0.000100108884382934,0.000112842870191098,0.000109132569971445,0.000117524166828837,0.00011410553185302,0.000113963804523621,0.00187649659553861,0.00189258532492518,0.00188709812778693,0.00116430137951895,0.0011653952820792,0.000173405029637252
545,4.17729176973658E-05,5.39095775005289E-05,0.00285259614526358,0.00286442442454146,0.00176299771567959,0.00174906343211832,0.000110968722218259,0.000114011020749357,0.000121667177988967,0.00012083119703386,0.000116524469016895,0.000117777246506906,0.00176988949227708,0.00181152142430749,0.0018137956639542,0.00111144474998268,0.001121168749561,0.000179525638781409
546,4.42830890037097E-05,6.11452089340646E-05,0.00269697921690384,0.00270391170184673,0.00166977087728873,0.00166562973316406,0.000118198320010467,0.000130760557202399,0.000134475328418158,0.000136923865543462,0.000131992951423949,0.00013175198198089,0.00171013857943597,0.0017190999511263,0.00173676055551289,0.00109397641468103,0.0010895644886765,0.000198833378678191
547,4.48007194560435E-05,6.03897415311799E-05,0.00251856949289255,0.00252132471476232,0.00155390708194183,0.00155358084068122,0.000110142083146224,0.000117843612154818,0.00012004682855221,0.000122354043938926,0.00012165180031189,0.000121996668724409,0.00158179331121107,0.00160677968913008,0.00161249681599049,0.00101437990731973,0.00101532848329098,0.000182362947820223
548,5.24831240957703E-05,7.30715705937455E-05,0.00239012174386462,0.00238887217634279,0.00147942231651471,0.00148393209556843,0.000126804068656437,0.000136561583829124,0.000136622190058393,0.000140357643922293,0.000133025057903425,0.000133802914617997,0.00152370445967815,0.00153162228849877,0.00154635247568799,0.000981031256459899,0.000981772657310178,0.000204516959994742
549,4.3340523818512E-05,6.87708103740806E-05,0.00225066183928337,0.00224869253375691,0.00139468591573716,0.00139670609675624,0.000129889372258829,0.000133683836082691,0.000133800051668752,0.000142839304940377,0.000136742725075893,0.000142213960343706,0.00142540689429447,0.00144226784367525,0.00144147727842243,0.000927380425593968,0.00092837299647921,0.000198591487846161
550,4.79712526733211E-05,4.45192270467049E-05,0.00209016898058259,0.00209341626537894,0.00129783149027371,0.00131271487892363,0.000112301932540364,0.000128808963588466,0.00012702614056302,0.0001350329261148,0.000135574140247524,0.000136656568512974,0.0013454938234048,0.00136927175579336,0.00135812911188432,0.000881223952577544,0.00087517508874121,0.000194200365271785
551,5.02866837163445E-05,7.01185574114998E-05,0.0019646076505143,0.00197266464528142,0.00122678407144699,0.00122717642625061,0.000117716083077761,0.00012352946105665,0.000124018672044427,0.000125426337068517,0.00012722085965335,0.000125972592858444,0.00124913189900805,0.001273010495932,0.00127286433907754,0.000826837248179625,0.00082197262451628,0.00018592548012396
552,5.08592500931823E-05,5.55507056125245E-05,0.00184728185265177,0.00184237412273,0.00114100564708898,0.00114081862833165,0.000106436820112378,0.000117766842550504,0.000122928897558268,0.000116883303864297,0.000112515850352605,0.00011693933058063,0.00118167903803441,0.00120710666638538,0.00120255490184222,0.000773613061889547,0.000774342755328446,0.000180346611349914
553,3.40703009516455E-05,7.1552748753499E-05,0.00172585666864836,0.00173408556134819,0.00106891638415011,0.00107554562344674,0.000113450217368152,0.000125490087730199,0.000120194514269997,0.000127892592003039,0.000124958097127753,0.000130836027896853,0.00112585012162936,0.0011341629409197,0.00113534043284079,0.000737840074219942,0.000735138587237553,0.000186569975176594
554,3.19818364864698E-05,5.43251765214121E-05,0.00160062368817119,0.00160319512551554,0.00100351869080541,0.00100596012785186,0.000102239730261627,0.000110361865809902,0.000107520976946743,0.000118879506296778,0.000110325172177427,0.000114812541331708,0.00102251275436154,0.00104541824009621,0.00105473133069817,0.000675392866524587,0.000679127291590983,0.000165445421831361
555,6.09573047235181E-05,6.48900340605193E-05,0.00152371317179095,0.00152907741460662,0.000956712706174673,0.00095268952406292,0.000111308038425144,0.000120695463352566,0.000121799866285204,0.000129278251857637,0.000129814676139204,0.000124718645464318,0.000995023073103303,0.00101131754260124,0.00100626884348061,0.000662957303277754,0.000669583720873581,0.000189957304413712
556,4.80917891034297E-05,5.63331911701702E-05,0.00141032870547998,0.00143615811892595,0.000879350032670196,0.000886654157614326,0.000105839640142543,0.000113491480813868,0.000120441236363451,0.000117827454038517,0.000118690459337336,0.00012205240959123,0.000934921262423852,0.000954143291298241,0.000959370116651739,0.000633093984259855,0.000635114727677992,0.000182603739683583
557,4.42398718176655E-05,6.24570682566392E-05,0.00133068223374379,0.00133897244744303,0.000831409242109387,0.000829116048120341,0.000106753336115148,0.000113986676924572,0.000117694971042128,0.000119493058074459,0.000119589938089359,0.000125911359061565,0.000880338781194389,0.000897761280674101,0.000895145002196862,0.000599045742754399,0.000596819315674016,0.000182630484772231
558,4.86632715326448E-05,6.62300722899557E-05,0.00124550833074867,0.00126205673405104,0.000786387235794416,0.000791179771835705,0.000114700511091517,0.000120099086853028,0.000124086881877843,0.000121958911972934,0.000122061612897566,0.000129683637611116,0.000847243742527578,0.000848811335609852,0.000859736150300755,0.000581040677594306,0.000577775652976368,0.000193457691861662
559,5.01506869462875E-05,7.20139771049992E-05,0.00117097948799528,0.00116617210654089,0.000731112148375813,0.000735244280276285,0.000104450389396546,0.0001127437856898,0.000113435559976757,0.000114858492497734,0.000119202095079,0.000117191692998001,0.000781953703197761,0.000799968140412637,0.000809281663558497,0.000545092494184431,0.000540346529654477,0.000171082091164337
560,4.78327543112467E-05,5.79519739568522E-05,0.0010753978136999,0.00107777403328556,0.000680182896082685,0.000670332605109936,9.8410799692786E-05,0.000103975049923895,0.000108509663053762,0.000106763206053626,0.00010021315914162,0.000109903354101675,0.00071668701602515,0.000741511150447032,0.000735686115292749,0.000500055573957308,0.000494317402607925,0.000163899099279786
561,5.27446611987793E-05,6.836720136866E-05,0.00102078199305962,0.00102920643256519,0.000655048909699165,0.000641628292259343,0.000102920435860175,0.000108524285083232,0.000110720368373697,0.000117861268503736,0.000119286081389095,0.000113995400645934,0.000706786341742903,0.000710532555709799,0.000711508538506517,0.000479951740071138,0.00048307976493462,0.000174432525343461
562,4.2708329090119E-05,6.45739633554646E-05,0.000954646399861704,0.000958640042909955,0.000608508574169342,0.000612104510026066,0.000103072447137423,0.000114572813425746,0.000115042653784364,0.000117986466819687,0.000116925914308948,0.000118798452335721,0.000662899650795265,0.000668635468029543,0.000677174475377035,0.000470932103849364,0.000463777273491991,0.000177993463658913
563,4.24788765672909E-05,6.86543463051294E-05,0.000895959090100895,0.000898894370136202,0.000572094347275744,0.000576085914704038,0.000115507403586552,0.000117212759945093,0.000116333878251009,0.000123422324188798,0.000124457940595621,0.000124340115974486,0.000636635875678952,0.000648225102942096,0.000648952235278929,0.000457057391015481,0.000456121116936282,0.000182395918150849
